Season,Team Acquiring,Acquired Player,Draft Pick,Acquisition Type,Acquiring GM,Year 2,Year 3,Helper,Acquired Player Win Shares Year 1,Acquired Player Win Shares Year 2
2022,DET,Cade Cunningham,1,Draft Pick,Troy Weaver,2023,2024,2022Cade Cunningham,,
2022,HOU,Jalen Green,2,Draft Pick,Rafael Stone,2023,2024,2022Jalen Green,,
2022,CLE,Evan Mobley,3,Draft Pick,Koby Altman,2023,2024,2022Evan Mobley,,
2022,TOR,Scottie Barnes,4,Draft Pick,Bobby Webster,2023,2024,2022Scottie Barnes,,
2022,ORL,Jalen Suggs,5,Draft Pick,John Hammond,2023,2024,2022Jalen Suggs,,
2022,OKC,Josh Giddey,6,Draft Pick,Sam Presti,2023,2024,2022Josh Giddey,,
2022,GSW,Jonathan Kuminga,7,Draft Pick,Bob Myers,2023,2024,2022Jonathan Kuminga,,
2022,ORL,Franz Wagner,8,Draft Pick,John Hammond,2023,2024,2022Franz Wagner,,
2022,SAC,Davion Mitchell,9,Draft Pick,Monte McNair,2023,2024,2022Davion Mitchell,,
2022,MEM,Ziaire Williams,10,Draft Pick,Zach Kleiman,2023,2024,2022Ziaire Williams,,
2022,CHO,James Bouknight,11,Draft Pick,Mitch Kupchak,2023,2024,2022James Bouknight,,
2022,SAS,Joshua Primo,12,Draft Pick,Brian Wright,2023,2024,2022Joshua Primo,,
2022,IND,Chris Duarte,13,Draft Pick,Chad Buchanan,2023,2024,2022Chris Duarte,,
2022,GSW,Moses Moody,14,Draft Pick,Bob Myers,2023,2024,2022Moses Moody,,
2022,WAS,Corey Kispert,15,Draft Pick,Tommy Sheppard,2023,2024,2022Corey Kispert,,
2022,HOU,Alperen Sengun,16,Draft Pick,Rafael Stone,2023,2024,2022Alperen Sengun,,
2022,NOP,Trey Murphy III,17,Draft Pick,Trajan Langdon,2023,2024,2022Trey Murphy III,,
2022,OKC,Tre Mann,18,Draft Pick,Sam Presti,2023,2024,2022Tre Mann,,
2022,CHO,Kai Jones,19,Draft Pick,Mitch Kupchak,2023,2024,2022Kai Jones,,
2022,ATL,Jalen Johnson,20,Draft Pick,Travis Schlenk,2023,2024,2022Jalen Johnson,,
2022,POR,Keon Johnson,21,Draft Pick,Joe Cronin,2023,2024,2022Keon Johnson,,
2022,IND,Isaiah Jackson,22,Draft Pick,Chad Buchanan,2023,2024,2022Isaiah Jackson,,
2022,HOU,Usman Garuba,23,Draft Pick,Rafael Stone,2023,2024,2022Usman Garuba,,
2022,HOU,Josh Christopher,24,Draft Pick,Rafael Stone,2023,2024,2022Josh Christopher,,
2022,NYK,Quentin Grimes,25,Draft Pick,Scott Perry,2023,2024,2022Quentin Grimes,,
2022,DEN,Bones Hyland,26,Draft Pick,Calvin Booth,2023,2024,2022Bones Hyland,,
2022,BRK,Cam Thomas,27,Draft Pick,Sean Marks,2023,2024,2022Cam Thomas,,
2022,PHI,Jaden Springer,28,Draft Pick,Daryl Morey,2023,2024,2022Jaden Springer,,
2022,BRK,Day'Ron Sharpe,29,Draft Pick,Sean Marks,2023,2024,2022Day'Ron Sharpe,,
2022,MEM,Santi Aldama,30,Draft Pick,Zach Kleiman,2023,2024,2022Santi Aldama,,
2022,WAS,Isaiah Todd,31,Draft Pick,Tommy Sheppard,2023,2024,2022Isaiah Todd,,
2022,OKC,Jeremiah Robinson-Earl,32,Draft Pick,Sam Presti,2023,2024,2022Jeremiah Robinson-Earl,,
2022,LAC,Jason Preston,33,Draft Pick,Michael Winger,2023,2024,2022Jason Preston,,
2022,NOP,Rokas Jokubaitis,34,Draft Pick,Trajan Langdon,2023,2024,2022Rokas Jokubaitis,,
2022,NOP,Herbert Jones,35,Draft Pick,Trajan Langdon,2023,2024,2022Herbert Jones,,
2022,NYK,Miles McBride,36,Draft Pick,Scott Perry,2023,2024,2022Miles McBride,,
2022,CHO,JT Thor,37,Draft Pick,Mitch Kupchak,2023,2024,2022JT Thor,,
2022,CHI,Ayo Dosunmu,38,Draft Pick,Marc Eversley,2023,2024,2022Ayo Dosunmu,,
2022,SAC,Neemias Queta,39,Draft Pick,Monte McNair,2023,2024,2022Neemias Queta,,
2022,UTA,Jared Butler,40,Draft Pick,Justin Zanik,2023,2024,2022Jared Butler,,
2022,SAS,Joe Wieskamp,41,Draft Pick,Brian Wright,2023,2024,2022Joe Wieskamp,,
2022,DET,Isaiah Livers,42,Draft Pick,Troy Weaver,2023,2024,2022Isaiah Livers,,
2022,POR,Greg Brown III,43,Draft Pick,Joe Cronin,2023,2024,2022Greg Brown III,,
2022,BRK,Kessler Edwards,44,Draft Pick,Sean Marks,2023,2024,2022Kessler Edwards,,
2022,BOS,Juhann Begarin,45,Draft Pick,Brad Stevens,2023,2024,2022Juhann Begarin,,
2022,TOR,Dalano Banton,46,Draft Pick,Bobby Webster,2023,2024,2022Dalano Banton,,
2022,TOR,David Johnson,47,Draft Pick,Bobby Webster,2023,2024,2022David Johnson,,
2022,ATL,Sharife Cooper,48,Draft Pick,Travis Schlenk,2023,2024,2022Sharife Cooper,,
2022,BRK,Marcus Zegarowski,49,Draft Pick,Sean Marks,2023,2024,2022Marcus Zegarowski,,
2022,PHI,Filip Petrušev,50,Draft Pick,Daryl Morey,2023,2024,2022Filip Petrušev,,
2022,LAC,Brandon Boston Jr.,51,Draft Pick,Michael Winger,2023,2024,2022Brandon Boston Jr.,,
2022,DET,Luka Garza,52,Draft Pick,Troy Weaver,2023,2024,2022Luka Garza,,
2022,PHI,Charles Bassey,53,Draft Pick,Daryl Morey,2023,2024,2022Charles Bassey,,
2022,MIL,Sandro Mamukelashvili,54,Draft Pick,Jon Horst,2023,2024,2022Sandro Mamukelashvili,,
2022,OKC,Aaron Wiggins,55,Draft Pick,Sam Presti,2023,2024,2022Aaron Wiggins,,
2022,CHO,Scottie Lewis,56,Draft Pick,Mitch Kupchak,2023,2024,2022Scottie Lewis,,
2022,DET,Balša Koprivica,57,Draft Pick,Troy Weaver,2023,2024,2022Balša Koprivica,,
2022,NYK,Jericho Sims,58,Draft Pick,Scott Perry,2023,2024,2022Jericho Sims,,
2022,BRK,RaiQuan Gray,59,Draft Pick,Sean Marks,2023,2024,2022RaiQuan Gray,,
2022,MIL,Georgios Kalaitzakis,60,Draft Pick,Jon Horst,2023,2024,2022Georgios Kalaitzakis,,
2023,ORL,Paolo Banchero,1,Draft Pick,John Hammond,2024,2025,2023Paolo Banchero,,
2023,OKC,Chet Holmgren,2,Draft Pick,Sam Presti,2024,2025,2023Chet Holmgren,,
2023,HOU,Jabari Smith Jr.,3,Draft Pick,Rafael Stone,2024,2025,2023Jabari Smith Jr.,,
2023,SAC,Keegan Murray,4,Draft Pick,Monte McNair,2024,2025,2023Keegan Murray,,
2023,DET,Jaden Ivey,5,Draft Pick,Troy Weaver,2024,2025,2023Jaden Ivey,,
2023,IND,Bennedict Mathurin,6,Draft Pick,Chad Buchanan,2024,2025,2023Bennedict Mathurin,,
2023,POR,Shaedon Sharpe,7,Draft Pick,Joe Cronin,2024,2025,2023Shaedon Sharpe,,
2023,NOP,Dyson Daniels,8,Draft Pick,Trajan Langdon,2024,2025,2023Dyson Daniels,,
2023,SAS,Jeremy Sochan,9,Draft Pick,Brian Wright,2024,2025,2023Jeremy Sochan,,
2023,WAS,Johnny Davis,10,Draft Pick,Will Dawkins,2024,2025,2023Johnny Davis,,
2023,OKC,Ousmane Dieng,11,Draft Pick,Sam Presti,2024,2025,2023Ousmane Dieng,,
2023,OKC,Jalen Williams,12,Draft Pick,Sam Presti,2024,2025,2023Jalen Williams,,
2023,DET,Jalen Duren,13,Draft Pick,Troy Weaver,2024,2025,2023Jalen Duren,,
2023,UTA,Ochai Agbaji,14,Draft Pick,Justin Zanik,2024,2025,2023Ochai Agbaji,,
2023,CHO,Mark Williams,15,Draft Pick,Mitch Kupchak,2024,2025,2023Mark Williams,,
2023,ATL,AJ Griffin,16,Draft Pick,Landry Fields,2024,2025,2023AJ Griffin,,
2023,HOU,Tari Eason,17,Draft Pick,Rafael Stone,2024,2025,2023Tari Eason,,
2023,CHI,Dalen Terry,18,Draft Pick,Marc Eversley,2024,2025,2023Dalen Terry,,
2023,MEM,Jake LaRavia,19,Draft Pick,Zach Kleiman,2024,2025,2023Jake LaRavia,,
2023,SAS,Malaki Branham,20,Draft Pick,Brian Wright,2024,2025,2023Malaki Branham,,
2023,DEN,Christian Braun,21,Draft Pick,Calvin Booth,2024,2025,2023Christian Braun,,
2023,UTA,Walker Kessler,22,Draft Pick,Justin Zanik,2024,2025,2023Walker Kessler,,
2023,MEM,David Roddy,23,Draft Pick,Zach Kleiman,2024,2025,2023David Roddy,,
2023,MIL,MarJon Beauchamp,24,Draft Pick,Jon Horst,2024,2025,2023MarJon Beauchamp,,
2023,SAS,Blake Wesley,25,Draft Pick,Brian Wright,2024,2025,2023Blake Wesley,,
2023,MIN,Wendell Moore Jr.,26,Draft Pick,Tim Connelly,2024,2025,2023Wendell Moore Jr.,,
2023,MIA,Nikola Jovic,27,Draft Pick,Andy Elisburg,2024,2025,2023Nikola Jovic,,
2023,GSW,Patrick Baldwin Jr.,28,Draft Pick,Mike Dunleavy Jr.,2024,2025,2023Patrick Baldwin Jr.,,
2023,HOU,TyTy Washington Jr.,29,Draft Pick,Rafael Stone,2024,2025,2023TyTy Washington Jr.,,
2023,DEN,Peyton Watson,30,Draft Pick,Calvin Booth,2024,2025,2023Peyton Watson,,
2023,IND,Andrew Nembhard,31,Draft Pick,Chad Buchanan,2024,2025,2023Andrew Nembhard,,
2023,ORL,Caleb Houstan,32,Draft Pick,John Hammond,2024,2025,2023Caleb Houstan,,
2023,TOR,Christian Koloko,33,Draft Pick,Bobby Webster,2024,2025,2023Christian Koloko,,
2023,OKC,Jaylin Williams,34,Draft Pick,Sam Presti,2024,2025,2023Jaylin Williams,,
2023,LAL,Max Christie,35,Draft Pick,Rob Pelinka,2024,2025,2023Max Christie,,
2023,POR,Gabriele Procida,36,Draft Pick,Joe Cronin,2024,2025,2023Gabriele Procida,,
2023,DAL,Jaden Hardy,37,Draft Pick,Nico Harrison,2024,2025,2023Jaden Hardy,,
2023,MEM,Kennedy Chandler,38,Draft Pick,Zach Kleiman,2024,2025,2023Kennedy Chandler,,
2023,CLE,Khalifa Diop,39,Draft Pick,Koby Altman,2024,2025,2023Khalifa Diop,,
2023,CHO,Bryce McGowens,40,Draft Pick,Mitch Kupchak,2024,2025,2023Bryce McGowens,,
2023,NOP,E.J. Liddell,41,Draft Pick,Trajan Langdon,2024,2025,2023E.J. Liddell,,
2023,NYK,Trevor Keels,42,Draft Pick,Scott Perry,2024,2025,2023Trevor Keels,,
2023,LAC,Moussa Diabaté,43,Draft Pick,Michael Winger,2024,2025,2023Moussa Diabaté,,
2023,GSW,Ryan Rollins,44,Draft Pick,Mike Dunleavy Jr.,2024,2025,2023Ryan Rollins,,
2023,MIN,Josh Minott,45,Draft Pick,Tim Connelly,2024,2025,2023Josh Minott,,
2023,DET,Ismael Kamagate,46,Draft Pick,Troy Weaver,2024,2025,2023Ismael Kamagate,,
2023,MEM,Vince Williams Jr.,47,Draft Pick,Zach Kleiman,2024,2025,2023Vince Williams Jr.,,
2023,IND,Kendall Brown,48,Draft Pick,Chad Buchanan,2024,2025,2023Kendall Brown,,
2023,CLE,Isaiah Mobley,49,Draft Pick,Koby Altman,2024,2025,2023Isaiah Mobley,,
2023,MIN,Matteo Spagnolo,50,Draft Pick,Tim Connelly,2024,2025,2023Matteo Spagnolo,,
2023,ATL,Tyrese Martin,51,Draft Pick,Landry Fields,2024,2025,2023Tyrese Martin,,
2023,NOP,Karlo Matković,52,Draft Pick,Trajan Langdon,2024,2025,2023Karlo Matković,,
2023,BOS,JD Davison,53,Draft Pick,Brad Stevens,2024,2025,2023JD Davison,,
2023,WAS,Yannick Nzosa,54,Draft Pick,Will Dawkins,2024,2025,2023Yannick Nzosa,,
2023,GSW,Gui Santos,55,Draft Pick,Mike Dunleavy Jr.,2024,2025,2023Gui Santos,,
2023,CLE,Luke Travers,56,Draft Pick,Koby Altman,2024,2025,2023Luke Travers,,
2023,POR,Jabari Walker,57,Draft Pick,Joe Cronin,2024,2025,2023Jabari Walker,,
2023,IND,Hugo Besson,58,Draft Pick,Chad Buchanan,2024,2025,2023Hugo Besson,,
2024,SAS,Victor Wembanyama,1,Draft Pick,Brian Wright,2025,2026,2024Victor Wembanyama,,
2024,CHO,Brandon Miller,2,Draft Pick,Mitch Kupchak,2025,2026,2024Brandon Miller,,
2024,POR,Scoot Henderson,3,Draft Pick,Joe Cronin,2025,2026,2024Scoot Henderson,,
2024,HOU,Amen Thompson,4,Draft Pick,Rafael Stone,2025,2026,2024Amen Thompson,,
2024,DET,Ausar Thompson,5,Draft Pick,Troy Weaver,2025,2026,2024Ausar Thompson,,
2024,ORL,Anthony Black,6,Draft Pick,Anthony Parker,2025,2026,2024Anthony Black,,
2024,WAS,Bilal Coulibaly,7,Draft Pick,Will Dawkins,2025,2026,2024Bilal Coulibaly,,
2024,IND,Jarace Walker,8,Draft Pick,Chad Buchanan,2025,2026,2024Jarace Walker,,
2024,UTA,Taylor Hendricks,9,Draft Pick,Justin Zanik,2025,2026,2024Taylor Hendricks,,
2024,OKC,Cason Wallace,10,Draft Pick,Sam Presti,2025,2026,2024Cason Wallace,,
2024,ORL,Jett Howard,11,Draft Pick,Anthony Parker,2025,2026,2024Jett Howard,,
2024,DAL,Dereck Lively II,12,Draft Pick,Nico Harrison,2025,2026,2024Dereck Lively II,,
2024,TOR,Gradey Dick,13,Draft Pick,Bobby Webster,2025,2026,2024Gradey Dick,,
2024,NOP,Jordan Hawkins,14,Draft Pick,Trajan Langdon,2025,2026,2024Jordan Hawkins,,
2024,ATL,Kobe Bufkin,15,Draft Pick,Landry Fields,2025,2026,2024Kobe Bufkin,,
2024,UTA,Keyonte George,16,Draft Pick,Justin Zanik,2025,2026,2024Keyonte George,,
2024,LAL,Jalen Hood-Schifino,17,Draft Pick,Rob Pelinka,2025,2026,2024Jalen Hood-Schifino,,
2024,MIA,Jaime Jaquez Jr.,18,Draft Pick,Andy Elisburg,2025,2026,2024Jaime Jaquez Jr.,,
2024,GSW,Brandin Podziemski,19,Draft Pick,Mike Dunleavy Jr.,2025,2026,2024Brandin Podziemski,,
2024,HOU,Cam Whitmore,20,Draft Pick,Rafael Stone,2025,2026,2024Cam Whitmore,,
2024,BRK,Noah Clowney,21,Draft Pick,Sean Marks,2025,2026,2024Noah Clowney,,
2024,BRK,Dariq Whitehead,22,Draft Pick,Sean Marks,2025,2026,2024Dariq Whitehead,,
2024,POR,Kris Murray,23,Draft Pick,Joe Cronin,2025,2026,2024Kris Murray,,
2024,SAC,Olivier-Maxence Prosper,24,Draft Pick,Monte McNair,2025,2026,2024Olivier-Maxence Prosper,,
2024,DET,Marcus Sasser,25,Draft Pick,Troy Weaver,2025,2026,2024Marcus Sasser,,
2024,IND,Ben Sheppard,26,Draft Pick,Chad Buchanan,2025,2026,2024Ben Sheppard,,
2024,CHO,Nick Smith Jr.,27,Draft Pick,Mitch Kupchak,2025,2026,2024Nick Smith Jr.,,
2024,UTA,Brice Sensabaugh,28,Draft Pick,Justin Zanik,2025,2026,2024Brice Sensabaugh,,
2024,DEN,Julian Strawther,29,Draft Pick,Calvin Booth,2025,2026,2024Julian Strawther,,
2024,LAC,Kobe Brown,30,Draft Pick,Trent Redden,2025,2026,2024Kobe Brown,,
2024,DET,James Nnaji,31,Draft Pick,Troy Weaver,2025,2026,2024James Nnaji,,
2024,IND,Jalen Pickett,32,Draft Pick,Chad Buchanan,2025,2026,2024Jalen Pickett,,
2024,MIN,Leonard Miller,33,Draft Pick,Tim Connelly,2025,2026,2024Leonard Miller,,
2024,SAC,Colby Jones,34,Draft Pick,Monte McNair,2025,2026,2024Colby Jones,,
2024,CHI,Julian Phillips,35,Draft Pick,Marc Eversley,2025,2026,2024Julian Phillips,,
2024,MIL,Andre Jackson Jr.,36,Draft Pick,Jon Horst,2025,2026,2024Andre Jackson Jr.,,
2024,DEN,Hunter Tyson,37,Draft Pick,Calvin Booth,2025,2026,2024Hunter Tyson,,
2024,BOS,Jordan Walsh,38,Draft Pick,Brad Stevens,2025,2026,2024Jordan Walsh,,
2024,CHO,Mouhamed Gueye,39,Draft Pick,Mitch Kupchak,2025,2026,2024Mouhamed Gueye,,
2024,SAS,Maxwell Lewis,40,Draft Pick,Brian Wright,2025,2026,2024Maxwell Lewis,,
2024,CHO,Amari Bailey,41,Draft Pick,Mitch Kupchak,2025,2026,2024Amari Bailey,,
2024,WAS,Tristan Vukcevic,42,Draft Pick,Will Dawkins,2025,2026,2024Tristan Vukcevic,,
2024,POR,Rayan Rupert,43,Draft Pick,Joe Cronin,2025,2026,2024Rayan Rupert,,
2024,SAS,Sidy Cissoko,44,Draft Pick,Brian Wright,2025,2026,2024Sidy Cissoko,,
2024,MEM,GG Jackson II,45,Draft Pick,Zach Kleiman,2025,2026,2024GG Jackson II,,
2024,ATL,Seth Lundy,46,Draft Pick,Landry Fields,2025,2026,2024Seth Lundy,,
2024,LAL,Mojave King,47,Draft Pick,Rob Pelinka,2025,2026,2024Mojave King,,
2024,LAC,Jordan Miller,48,Draft Pick,Trent Redden,2025,2026,2024Jordan Miller,,
2024,CLE,Emoni Bates,49,Draft Pick,Koby Altman,2025,2026,2024Emoni Bates,,
2024,OKC,Keyontae Johnson,50,Draft Pick,Sam Presti,2025,2026,2024Keyontae Johnson,,
2024,BRK,Jalen Wilson,51,Draft Pick,Sean Marks,2025,2026,2024Jalen Wilson,,
2024,POR,Toumani Camara,52,Draft Pick,Joe Cronin,2025,2026,2024Toumani Camara,,
2024,MIN,Jaylen Clark,53,Draft Pick,Tim Connelly,2025,2026,2024Jaylen Clark,,
2024,SAC,Jalen Slawson,54,Draft Pick,Monte McNair,2025,2026,2024Jalen Slawson,,
2024,IND,Isaiah Wong,55,Draft Pick,Chad Buchanan,2025,2026,2024Isaiah Wong,,
2024,MEM,Tarik Biberovic,56,Draft Pick,Zach Kleiman,2025,2026,2024Tarik Biberovic,,
2024,GSW,Trayce Jackson-Davis,57,Draft Pick,Mike Dunleavy Jr.,2025,2026,2024Trayce Jackson-Davis,,
2024,MIL,Chris Livingston,58,Draft Pick,Jon Horst,2025,2026,2024Chris Livingston,,